material,g/cm3,(lb/ft3)*
ABS,1.06,66
"ABS resin, pellet",0.7208325,45
Acetals,1.42,87
"Acetic acid, liquid",1.057221,66
Acetone,0.7849065,49
Acrylic,1.19,74
Acrylic resin,0.5286105,33
"Adipic acid, powder",0.7208325,45
Agate,2.5 - 2.6,156 - 168
Agate,2.6,162
Air-atmospheric pressure,0.001199786,0.0749
Alabaster carbonate,2.7 - 2.8,168 - 173
Alabaster sulfate,2.3,143
Albite,2.6 - 2.65,163 - 165
"Alcohol, methyl",0.7849065,49
"Alfalfa, ground",0.256296,16
"Almonds, shelled",0.480555,30
Alum powder,0.800925,50
"Alum, lumpy",0.881,55
"Alum, pulverized",0.752,47
Alumina,0.96111,60
Aluminium oxide,3.95 - 4.1,247 - 256
Aluminum,2.7,167
Aluminum Bronze,7.7,481
Aluminum hydrate,0.288333,18
Aluminum oxide,0.96111,60
Aluminum silicate,0.5606475,35
"Aluminum, powder",0.7208325,45
"Aluminum, shavings",0.1121295,7
Amber,1.06 - 1.1,66 - 69
"Ammonium nitrate, prill",0.7208325,45
Ammonium sulphate,0.64074,40
Amphiboles,2.9 - 3.2,180 - 200
"Andesite, solid",2.77,173
Anorthite,2.74 - 2.76,171 - 172
"Antimony, cast",6.7,418
Apple seed,0.512592,32
Arsenic,4.7,291
Artificial Wool,1.5,94
Asbestos,2.0 - 2.8,125 - 175
Asbestos fibers,0.32037,20
"Asbestos, shredded",0.35,22
"Asbestos, solid",2.45,153
"Ash, coal, damp",0.7208325,45
"Ash, coal, dry",0.5606475,35
Ashes,0.65,41
"Asphalt, compacted",2.36,147
"Asphalt, crushed",0.72,45
"Asphalt, liquid",1.0412025,65
Aviation fuel (jp-4),0.7849065,49
Bagasse - exiting the final mill,0.12013875,7.5
Bagasse,0.1762035,11
"Bakalite, powder",0.480555,30
Bakelite,1.36,85
Baking powder,0.72,45
Baking soda,1.121295,70
Ball clay,0.4004625,25
Balsa Wood,0.13,8.1
"Barite, crushed",2.89,180
Barium,3.78,236
"Bark, wood refuse",0.24,15
"Bark, wood refuse",0.160185,10
"Barley, flour",0.4004625,25
"Barley, ground",0.4004625,25
"Barley, kernal",0.5606475,35
"Barley, malted",0.4965735,31
Barytes,4.5,281
Basalt,2.4 - 3.1,150 - 190
"Bauxite, crushed",1.28,80
"Bauxite, crushed",1.2013875,75
"Beans, caster",0.576666,36
"Beans, coffee",0.352407,22
"Beans, lima",0.7208325,45
"Beans, navy",0.768888,48
"Beans, soy",0.7208325,45
Beeswax,0.96,60 - 61
"Bentonite, lump",0.4004625,25
"Bentonite, powder",0.800925,50
Beryl,2.7,168
Beryllium,1.85,115
